Iteration,AbsLearnSignalOld,dLoss,AverageAbsQ,NumTrajs,ProcessExecTime,MeanKL,AverageAbsQYDiff,ItrTime,AverageReturn,PolicyExecTime,AveragePolicyStd,Entropy,AverageY,MinReturn,Perplexity,LossBefore,AverageQLoss,MaxReturn,AbsLearnSignal,MeanKLBefore,ExplainedVariance,AverageDiscountedReturn,Time,AverageQ,StdReturn,EnvExecTime,AverageAbsY,AbsLearnSignalNew,LossAfter
10,0.712319170925,0.0668783,9.66034,5,0.0926523208618164,0.00997485,1.05822760109,36.59844374656677,-293.688255819,0.7049891948699951,1.00149,8.52254,-9.38948980336,-367.647087237,5026.79,9.21515,2.32574,-191.885349915,0.71240885686,0.0,0.00562500337498,-22.0180208156,402.01127910614014,-9.38703,62.36673908,1.7022109031677246,9.70090042936,0.71240885686,9.14828
11,0.751850462518,0.0568333,9.81173,5,0.0939946174621582,0.00643268,1.07309724755,36.84347081184387,-340.808918642,0.740257740020752,0.999403,8.51,-9.53956242978,-405.250786025,4964.14,9.25579,2.40336,-199.548652524,0.751751759134,0.0,0.121060784181,-56.1863250143,438.9688138961792,-9.53727,73.345486785,1.7099921703338623,9.85073261538,0.751751759134,9.19896
12,0.764798696328,0.055295,9.87879,5,0.09455990791320801,0.00645919,1.07583331922,36.87553811073303,-282.434561343,0.7467052936553955,0.998227,8.50293,-9.59837943062,-349.612093349,4929.18,9.17015,2.41965,-238.314114189,0.764472123688,0.0,-0.143161579342,-24.1932233508,475.9670464992523,-9.59715,40.1701306185,1.7241203784942627,9.91841915498,0.764472123688,9.11486
13,0.781527477825,0.0583715,9.86068,5,0.09265303611755371,0.00644755,1.07931574486,36.503018856048584,-263.334326089,0.7142395973205566,0.996924,8.49512,-9.57556868773,-321.071416935,4890.82,8.85456,2.42715,-188.818992645,0.780057498862,0.0,0.185524907604,-25.2507880559,512.585764169693,-9.57397,51.0544478535,1.7029659748077393,9.89815877668,0.780057498862,8.79619
14,0.672683179342,0.0677395,9.79964,5,0.09283781051635742,0.00992216,1.08587062347,36.40317916870117,-304.00110996,0.7368347644805908,0.994823,8.48243,-9.51436438075,-402.045302857,4829.17,9.72535,2.44818,-213.234004091,0.673138497781,0.0,0.218342224464,-17.6523263416,549.1095526218414,-9.51323,77.7846119006,1.7176659107208252,9.83630175879,0.673138497781,9.65761
15,0.751814570665,0.078701,9.65294,5,0.09088563919067383,0.00997026,1.08927604524,36.43058204650879,-206.418516112,0.7275550365447998,0.992301,8.46714,-9.36538107865,-331.241040002,4755.92,8.37639,2.43161,-159.573660396,0.751326010145,0.0,-0.0391884594643,-20.9720082341,585.6581952571869,-9.36479,64.6912817788,1.7083899974822998,9.68693097054,0.751326010145,8.29769
16,0.712826399428,0.0537014,9.44881,5,0.09405374526977539,0.00642751,1.09285975177,36.489187717437744,-266.507220143,0.7271139621734619,0.989681,8.45132,-9.17423737569,-347.574002266,4681.26,9.23244,2.42704,-212.279692894,0.712360122969,0.0,-0.179974818026,-30.1925378672,622.2720136642456,-9.17502,45.5311049849,1.7128446102142334,9.48234711269,0.712360122969,9.17874
17,0.755815022759,0.0715971,9.22297,5,0.09029841423034668,0.00993359,1.10891491399,36.26107931137085,-240.164576495,0.7291622161865234,0.988091,8.44164,-8.96964036255,-368.510181611,4636.17,8.59435,2.47307,-91.5004224095,0.756531795746,0.0,0.301829815235,-17.0244532463,658.6529667377472,-8.97006,88.8534744902,1.7007689476013184,9.25389810713,0.756531795746,8.52275
18,0.741673880143,0.0746145,8.90455,5,0.09055066108703613,0.00998064,1.10621915086,36.34153079986572,-233.773527976,0.7291007041931152,0.985019,8.42279,-8.66911433541,-323.979008132,4549.58,8.22979,2.42883,-176.538100145,0.741199203053,0.0,0.370375289693,-18.4575738419,695.1100225448608,-8.66955,53.3977822847,1.7071669101715088,8.93423920609,0.741199203053,8.15518
19,0.757685903808,0.0752463,8.4285,5,0.09678840637207031,0.00994856,1.09445377526,36.45647621154785,-162.795958988,0.7227375507354736,0.983773,8.41519,-8.21172763329,-211.097210754,4515.13,5.88915,2.37188,-119.33712003,0.756839930476,0.0,-0.503241418359,-10.4935830193,731.6919231414795,-8.21324,36.9431619258,1.7007579803466797,8.45784199848,0.756839930476,5.8139
20,0.683627312111,0.0772715,8.02067,5,0.09003043174743652,0.00983185,1.09215013428,36.495033502578735,-139.293024199,0.7160546779632568,0.983416,8.413,-7.80702118067,-188.597292682,4505.26,7.6573,2.35414,-73.1148604126,0.68415281647,0.0,-5.09769267462,-20.7943804239,768.3134949207306,-7.80819,45.0337192706,1.7041130065917969,8.05291758314,0.68415281647,7.58003
21,0.694079826143,0.0754747,7.37738,5,0.09427499771118164,0.0099618,1.09815726173,36.342528104782104,-105.23802807,0.7361299991607666,0.982052,8.4046,-7.11906333462,-172.511872758,4467.58,4.46981,2.36676,-44.5893168538,0.693998577584,0.0,0.0197854210908,-31.4642182333,804.7693433761597,-7.12163,50.7769336798,1.6953492164611816,7.42340090439,0.693998577584,4.39434
22,0.704452395159,0.0592093,6.6566,5,0.09276270866394043,0.00642713,1.11721014898,36.79767394065857,-99.3175058602,0.7355196475982666,0.980419,8.39445,-6.28895318101,-307.373591888,4422.44,2.86972,2.451,-31.0652933741,0.703441613123,0.0,0.190752945251,-29.2699418395,841.6933119297028,-6.29211,105.89245048,1.7065441608428955,6.73206714786,0.703441613123,2.81052
23,0.754724851799,0.075444,5.95889,5,0.09412670135498047,0.00998562,1.12099589516,36.24043655395508,-27.3729485891,0.7064361572265625,0.977921,8.37905,-5.22608066993,-116.420731968,4354.88,0.773528,2.45869,35.1063565895,0.75410940101,0.0,0.0866207906746,-17.1007631506,878.0526583194733,-5.23072,59.928752229,1.6963856220245361,6.0745531453,0.75410940101,0.698084
24,0.740667690076,0.0565878,5.66288,5,0.10054683685302734,0.00646663,1.12815121375,36.58863949775696,-12.1661748617,0.7381582260131836,0.973807,8.35368,-4.13610961322,-56.5416909148,4245.76,-0.558224,2.50606,68.6324819898,0.739448157766,0.0,0.0608365544871,-9.11981023046,914.7619166374207,-4.14114,44.1810552,1.7102017402648926,5.80563912593,0.739448157766,-0.614811
25,0.469105595204,0.0726016,5.9963,5,0.09167885780334473,0.00985796,1.13905837102,36.306694746017456,20.4305461483,0.7258329391479492,0.971817,8.3413,-3.09376508488,-94.1540974686,4193.53,-0.403205,2.56398,87.2374000554,0.469330212946,0.0,-51.8025394708,-8.90324830968,951.1860394477844,-3.09837,62.0226229702,1.6992783546447754,6.13045272628,0.469330212946,-0.475806
26,0.7654129205,0.0572522,6.77029,5,0.09182071685791016,0.00640728,1.16437587045,36.448585987091064,17.0041315958,0.718853235244751,0.970387,8.33247,-1.79464026608,-168.233113176,4156.69,-2.13252,2.70533,191.437128436,0.765719263336,0.0,0.221245250652,-19.0292585906,987.7522206306458,-1.7993,118.976234834,1.6959316730499268,6.87096664837,0.765719263336,-2.18977
27,0.730473785585,0.0602212,7.94578,5,0.09060955047607422,0.00643181,1.17845307818,36.441619873046875,57.5890622267,0.7333579063415527,0.968996,8.32378,-0.434511201925,-15.036918874,4120.69,-6.27043,2.78631,163.00284989,0.728246018492,0.0,0.251773411514,-12.9475805114,1024.3124060630798,-0.439558,64.7441485891,1.709181308746338,8.01089871949,0.728246018492,-6.33065
28,0.714605483981,0.0713806,9.34124,5,0.09918451309204102,0.00994522,1.20742674559,36.50133967399597,88.4121580312,0.7173652648925781,0.967412,8.31378,1.07550341645,1.44670511161,4079.7,-7.78567,2.93299,167.754730303,0.713900503498,0.0,0.195432498416,-10.5147298669,1060.936977148056,1.06995,64.6015432526,1.6975374221801758,9.39461475689,0.713900503498,-7.85705
29,0.77728135059,0.0696297,10.8175,5,0.0927121639251709,0.00992138,1.2372796849,36.28357148170471,156.073954813,0.7072067260742188,0.966017,8.30498,2.64565918386,103.164629694,4043.96,-8.48276,3.13968,203.510957255,0.777626322488,0.0,-0.0112198196183,0.609293830996,1097.3386812210083,2.63998,38.6210913131,1.6972627639770508,10.8711241524,0.777626322488,-8.55239
30,0.795016065394,0.0683632,12.4963,5,0.0889277458190918,0.00994512,1.25931392803,36.225441455841064,220.870569089,0.7053027153015137,0.963084,8.28612,4.50759941705,189.336442177,3968.4,-15.1328,3.29461,252.722371061,0.792057836802,0.0,0.196863121879,4.45693139239,1133.674560546875,4.50184,22.5747385672,1.6953611373901367,12.5511506535,0.792057836802,-15.2012
31,0.568942280426,0.0761871,14.1747,5,0.09598445892333984,0.00965287,1.3022424916,36.57500410079956,181.384089859,0.7305688858032227,0.958933,8.26016,6.24892199571,47.126837569,3866.72,-11.324,3.56438,283.23855508,0.56961276262,0.0,-6.08934411125,-2.82977276154,1170.3603444099426,6.24247,93.9476269712,1.7017099857330322,14.2331953212,0.56961276262,-11.4002
32,0.768079463757,0.0534706,15.9586,5,0.09444451332092285,0.00653273,1.33330079037,36.58937740325928,213.241102618,0.7310988903045654,0.96,8.26662,8.22067101831,91.9812490611,3891.76,-17.9173,3.85634,315.524473093,0.766626637994,0.0,0.142734171737,0.797056864151,1207.0662529468536,8.21469,79.439214707,1.6984915733337402,16.0225802523,0.766626637994,-17.9707
33,0.585961093542,0.0781746,17.6576,5,0.09280943870544434,0.00968544,1.36064086921,36.33124327659607,246.864890613,0.7097492218017578,0.95599,8.24116,10.1643884817,24.5682627606,3793.93,-16.0265,4.09373,371.833360785,0.586676427562,0.0,-10.767002307,7.84715990256,1243.519579410553,10.158,118.273420591,1.6957952976226807,17.7270180547,0.586676427562,-16.1047
34,0.674012660147,0.0695591,19.2848,5,0.09360504150390625,0.00976393,1.3867404734,36.42092227935791,256.41011131,0.7289807796478271,0.953417,8.22523,11.9256359776,48.0553636572,3733.97,-16.2573,4.3511,343.552821706,0.674052480341,0.0,0.214701061867,1.17048537874,1280.0549700260162,11.9192,106.185329537,1.6956706047058105,19.3583670361,0.674052480341,-16.3269
35,0.724736819138,0.0632954,20.9886,5,0.09457039833068848,0.00980529,1.43115940148,36.470264196395874,341.077745953,0.718012809753418,0.951247,8.21105,14.0500142994,228.50852431,3681.4,-25.4222,4.70493,398.549465656,0.724780179668,0.0,0.0508611388875,31.058150512,1316.6453430652618,14.043,69.5352567625,1.7212507724761963,21.0725765584,0.724780179668,-25.4855
36,0.759029384053,0.0699501,22.7072,5,0.09399199485778809,0.00988493,1.48186430391,36.50970268249512,208.442445528,0.7360985279083252,0.947932,8.19002,15.7744434105,-310.141307279,3604.8,-14.9268,5.26908,467.400134113,0.757637766244,0.0,0.219440310393,2.34458434543,1353.2765843868256,15.7673,269.09105384,1.7008240222930908,22.7994225252,0.757637766244,-14.9967
37,0.74213666902,0.0522442,24.2409,5,0.09814453125,0.00648064,1.51037322156,36.65243864059448,231.141024056,0.7348172664642334,0.946509,8.18092,17.7186405863,-137.89280555,3572.14,-23.6745,5.58549,366.352909866,0.742880965914,0.0,0.418567750736,16.5565694431,1390.0421702861786,17.7104,188.346356972,1.7601702213287354,24.3400105847,0.742880965914,-23.7267
38,0.715481407894,0.0526199,25.7627,5,0.09472060203552246,0.00641338,1.53737929089,36.86666917800903,255.930870326,0.7448780536651611,0.943536,8.16195,19.7439262882,17.4781733052,3505.01,-27.8048,5.92154,373.254938914,0.716870349091,0.0,0.346915264578,7.26295297847,1427.0299682617188,19.7364,142.37090586,1.7118659019470215,25.8749455272,0.716870349091,-27.8574
39,0.713063441765,0.0550728,27.3157,5,0.10256409645080566,0.00644695,1.56758226947,36.68584394454956,182.873501482,0.7324080467224121,0.941709,8.14952,21.7112244156,-245.566270903,3461.71,-26.639,6.33526,419.350425213,0.711515512693,0.0,0.108602779155,-4.17005671517,1463.8392009735107,21.7023,233.737648592,1.6984572410583496,27.4333487968,0.711515512693,-26.694
40,0.700478878382,0.0574913,28.7217,5,0.09149312973022461,0.00972335,1.60326599078,36.38857054710388,329.715938256,0.7336447238922119,0.941429,8.14741,23.6946681944,255.386326886,3454.41,-35.3586,6.8742,410.260530104,0.70200570549,0.0,0.166000517272,-2.6199013676,1500.3506951332092,23.6864,60.1073608509,1.6965463161468506,28.8523472305,0.70200570549,-35.4161
41,0.639727194692,0.0471153,30.225,5,0.09810709953308105,0.0064442,1.63387999766,36.31454110145569,331.228769356,0.7124044895172119,0.938451,8.1283,25.6522933818,179.596270752,3389.05,-35.4297,7.3075,447.343264294,0.640221334071,0.0,0.395488260197,-14.9643420293,1536.7874386310577,25.6431,102.24241163,1.683579444885254,30.3596177882,0.640221334071,-35.4768
42,0.659601206874,0.0634727,31.4096,5,0.08894658088684082,0.00987437,1.6541524824,36.290836572647095,321.912824656,0.7110118865966797,0.936105,8.11259,27.3456106584,188.459097693,3336.22,-31.9535,7.77906,374.700612575,0.660237769365,0.0,-1.53671746282,2.56735485894,1573.2015278339386,27.338,67.623864865,1.6850202083587646,31.5450891891,0.660237769365,-32.0169
43,0.721815178007,0.0444145,32.6814,5,0.09834003448486328,0.00642814,1.65023133912,36.325393199920654,350.268512211,0.7341511249542236,0.931125,8.08045,29.1287144564,211.449495688,3230.68,-39.4092,7.85921,450.138048729,0.720545996559,0.0,0.495195890354,3.07552917509,1609.6473095417023,29.1201,87.6050130468,1.6995935440063477,32.8193572474,0.720545996559,-39.4536
44,0.6696170161,0.0637379,33.5784,5,0.09760594367980957,0.00984578,1.673015072,36.46027612686157,203.049556277,0.7518031597137451,0.927364,8.05594,30.3588531942,-46.7090868925,3152.46,-23.3345,8.11018,384.214022683,0.669896380054,0.0,0.282223826892,-21.001462463,1646.234733581543,30.3506,147.166731118,1.7030420303344727,33.7140916883,0.669896380054,-23.3983
45,0.710374233505,0.0592728,34.7758,5,0.09487104415893555,0.00978886,1.66817468627,36.506781578063965,344.705862548,0.7627391815185547,0.928978,8.0659,31.9735391844,279.988731915,3184.01,-41.5457,8.21448,440.301101266,0.708845211864,0.0,0.41499930032,1.0354792718,1682.8592307567596,31.9648,57.0229871876,1.7220337390899658,34.9016945111,0.708845211864,-41.605
46,0.746286885453,0.0444641,35.8313,5,0.0987391471862793,0.00650299,1.65967524872,36.3023567199707,404.635664272,0.7497196197509766,0.928716,8.06441,33.3535813049,293.956326323,3179.27,-43.8131,8.23934,504.389567036,0.745831024607,0.0,0.200705368649,28.6655928004,1719.2913732528687,33.3452,88.0412580662,1.7117815017700195,35.9540736515,0.745831024607,-43.8576
47,0.731480527656,0.0443382,37.0967,5,0.09345698356628418,0.00646324,1.66452511486,36.78657531738281,423.540158447,0.7530872821807861,0.924151,8.03471,34.947946427,295.043149389,3086.26,-47.4115,8.30094,562.18072178,0.732476060868,0.0,0.241291050349,30.8381248577,1756.201473236084,34.9399,89.1358061795,1.7106311321258545,37.2100160481,0.732476060868,-47.4559
48,0.604208629586,0.0689392,38.0753,5,0.09857583045959473,0.00980873,1.69195026099,36.507773637771606,288.490968015,0.75638747215271,0.921436,8.01685,36.1033249849,-113.193286666,3031.62,-37.0579,8.7199,491.437935967,0.604048502863,0.0,-2.53498890796,-0.831193029505,1792.8324477672577,36.095,217.735353271,1.697516679763794,38.1859997881,0.604048502863,-37.1268
49,0.682144846429,0.0633965,39.3424,5,0.09106707572937012,0.00979593,1.70053658549,36.34614062309265,392.509190122,0.7587964534759521,0.923733,8.03225,37.4291784431,109.363795737,3078.66,-36.4378,8.8539,531.016798523,0.682829732999,0.0,0.295826843563,14.6819334313,1829.3000757694244,37.4214,146.104012841,1.704881191253662,39.4502352838,0.682829732999,-36.5012
50,0.7222131476,0.0502625,40.3405,5,0.08772540092468262,0.00644284,1.70154412917,36.3378210067749,344.328848181,0.748309850692749,0.922352,8.02406,38.6611898486,145.922846847,3053.56,-36.1494,8.97121,556.077643926,0.721346002158,0.0,0.325067924316,24.8438987613,1865.759037733078,38.6534,150.856505891,1.705397605895996,40.4432691059,0.721346002158,-36.1997
51,0.729433353158,0.0590324,41.3662,5,0.09694290161132812,0.00985502,1.7082068745,36.38414549827576,381.120383091,0.7639453411102295,0.919795,8.00696,39.9008684731,185.688100721,3001.77,-34.7756,8.92139,527.706060826,0.729018606747,0.0,0.432396590946,24.3754686853,1902.2666416168213,39.893,133.44272466,1.707561731338501,41.4619139681,0.729018606747,-34.8346
52,0.763315014869,0.0532875,42.6037,5,0.0964508056640625,0.00963435,1.71093436134,36.44648265838623,457.470519622,0.7490701675415039,0.915294,7.97728,41.3281139665,414.014760693,2914.0,-53.7339,9.195,490.903010931,0.762973260948,0.0,0.420067148679,27.6671380171,1938.8344008922577,41.3197,25.1609780238,1.701169729232788,42.6967361613,0.762973260948,-53.7872
53,0.734861505365,0.0571899,43.7465,5,0.09769344329833984,0.00991967,1.7182080024,36.940934896469116,459.178131294,0.7569928169250488,0.911419,7.95118,42.6017009466,336.789500821,2838.91,-50.4415,9.30595,519.319325416,0.734566124468,0.0,0.0260363367601,30.1184959577,1975.8925876617432,42.594,68.5769401824,1.7116501331329346,43.8258371585,0.734566124468,-50.4987
54,0.669842964132,0.0568733,44.7931,5,0.09350132942199707,0.00997592,1.70771659038,36.371296644210815,340.210868862,0.7567927837371826,0.909513,7.93869,43.7678817973,144.039789236,2803.69,-42.9242,9.29452,451.681462221,0.669151018987,0.0,0.243313114269,-22.9326368969,2012.3883645534515,43.7599,119.457322956,1.6828749179840088,44.8666102372,0.669151018987,-42.9811
55,0.689171115515,0.0487137,45.5701,5,0.09075212478637695,0.00641931,1.7163192977,36.51332879066467,254.872021845,0.7536640167236328,0.908099,7.92915,44.5946654567,-231.170562836,2777.07,-34.6405,9.47418,490.925814889,0.689572364253,0.0,0.123726556305,15.8598637628,2049.0223848819733,44.5867,258.831386109,1.7035045623779297,45.634725746,0.689572364253,-34.6892
56,0.746536540519,0.0539742,46.6612,5,0.0940854549407959,0.00983939,1.70571347446,36.32694339752197,512.281352703,0.780102014541626,0.903837,7.9006,45.7602306931,443.047873307,2698.9,-56.8142,9.31345,578.299910224,0.74643163428,0.0,0.285422246517,45.1156142123,2085.4676711559296,45.7535,45.0994047695,1.7112996578216553,46.7221526222,0.74643163428,-56.8682
57,0.750829647883,0.0430298,47.6207,5,0.09043049812316895,0.00646332,1.70082331395,36.39891743659973,339.331021056,0.7863514423370361,0.9038,7.90088,46.7785159859,-201.580162327,2699.65,-52.1815,9.23715,517.875375168,0.751699425896,0.0,0.571982056975,23.554773476,2121.9822347164154,46.7707,272.620623096,1.7154121398925781,47.6759180543,0.751699425896,-52.2245
58,0.635791082062,0.0605354,48.3479,5,0.09484124183654785,0.00994875,1.7112820474,36.328272581100464,318.814652101,0.7639155387878418,0.902932,7.89509,47.5619452872,152.677535859,2684.07,-41.6116,9.67817,425.480472368,0.635668374074,0.0,-7.09031835822,-3.31455659327,2158.4321026802063,47.5551,104.259064977,1.7086877822875977,48.4007399847,0.635668374074,-41.6721
59,0.720044838231,0.0427933,49.139,5,0.09565353393554688,0.006403,1.7013596922,36.40456986427307,457.919497085,0.7650067806243896,0.903205,7.89735,48.4080522271,259.894327147,2690.14,-50.6014,9.30223,585.437029081,0.721110413337,0.0,0.394025680896,13.0302437263,2194.957042694092,48.4013,114.768290844,1.6978976726531982,49.1876450278,0.721110413337,-50.6442
60,0.728889761419,0.041748,50.0762,5,0.09583544731140137,0.00643864,1.69538018896,36.23509502410889,452.68176516,0.7450714111328125,0.900222,7.87751,49.4031462492,352.27435708,2637.3,-60.3164,9.54325,545.179592049,0.728286702539,0.0,0.231415674979,14.256957885,2231.3101139068604,49.3961,82.6292732464,1.700535774230957,50.1220706029,0.728286702539,-60.3581
61,0.487288200529,0.0643234,50.7051,5,0.09722471237182617,0.00994087,1.68393994942,36.50388240814209,438.258857086,0.7566182613372803,0.89746,7.85909,50.0704367237,291.679861686,2589.16,-53.5166,9.20915,510.533766558,0.487358174308,0.0,-18.3692198477,15.6457011035,2267.9388127326965,50.0641,81.8053591076,1.7092170715332031,50.7474487542,0.487358174308,-53.5809
62,0.736966182377,0.0539513,51.4266,5,0.09320735931396484,0.00975624,1.67648773669,36.50529074668884,398.754521407,0.7547030448913574,0.895988,7.84933,50.8151829116,186.756782082,2564.03,-45.5304,9.22064,597.953358977,0.736156648582,0.0,0.617123427522,37.5591663687,2304.565990924835,50.8087,163.944064487,1.7005276679992676,51.4671399877,0.736156648582,-45.5843
63,0.733295382904,0.0541687,51.9172,5,0.09741497039794922,0.00985687,1.69381578656,36.48378109931946,423.994161468,0.765927791595459,0.89455,7.83949,51.3435054442,314.434697632,2538.9,-46.0173,9.6502,560.73823205,0.733180319519,0.0,0.267477585078,19.2416754525,2341.1635642051697,51.3378,89.5915447809,1.6953022480010986,51.9564843217,0.733180319519,-46.0715
64,0.680976737828,0.0516319,52.541,5,0.09794044494628906,0.00997587,1.68717327586,36.49285864830017,382.01508072,0.7675950527191162,0.893517,7.83165,52.0078896945,203.571772308,2519.09,-51.5395,9.39295,522.550959787,0.682081892998,0.0,0.465737891189,-8.4182158097,2377.7759873867035,52.0015,117.865667846,1.7179794311523438,52.5788127091,0.682081892998,-51.5912
65,0.718506774769,0.0441017,53.0493,5,0.09539222717285156,0.00650534,1.70162207307,36.79455780982971,399.895550731,0.7959756851196289,0.893789,7.83254,52.5508388114,308.066614719,2521.32,-53.4292,9.76609,506.819596393,0.719213501806,0.0,0.275930900287,15.7764627801,2414.6917958259583,52.5449,67.0876033867,1.7378454208374023,53.0820617763,0.719213501806,-53.4733
66,0.734439847711,0.040966,53.7115,5,0.09628844261169434,0.0064714,1.68721894489,36.769285678863525,507.271281735,0.7805643081665039,0.892185,7.82121,53.2551759888,370.336966101,2492.91,-60.7309,9.33322,602.172341781,0.733545605646,0.0,0.481935047753,22.8725503613,2451.5830042362213,53.2492,88.2692245687,1.7338638305664062,53.7415847806,0.733545605646,-60.7718
67,0.714585754685,0.0421524,54.3634,5,0.0981743335723877,0.00651214,1.67515836503,36.82049512863159,573.223110452,0.7994205951690674,0.892041,7.81924,53.8962790926,513.382891136,2488.01,-66.0031,9.34515,659.084288035,0.715302390164,0.0,0.434432173442,27.2380341189,2488.5256793498993,53.8902,50.2230475257,1.7327487468719482,54.3925894342,0.715302390164,-66.0453
68,0.693939142232,0.0548515,54.9857,5,0.09453821182250977,0.00990766,1.66472929055,36.51240348815918,491.529960855,0.7679624557495117,0.890731,7.81,54.5415185656,202.268539481,2465.13,-58.9227,9.47034,600.143580135,0.693788071492,0.0,-0.0144600567516,28.5321192086,2525.1575837135315,54.5361,146.181818367,1.7149298191070557,55.0119214789,0.693788071492,-58.9776
69,0.712795653043,0.0382309,55.5866,5,0.09672427177429199,0.00643984,1.66089229864,36.43607997894287,580.160474069,0.7722909450531006,0.891255,7.81314,55.1695926717,488.999276249,2472.89,-67.1554,9.55108,629.429903877,0.713560508018,0.0,0.45963015453,19.5028630674,2561.716092824936,55.1641,50.9288238122,1.7134101390838623,55.6115157903,0.713560508018,-67.1936
70,0.659902759882,0.0450974,55.9565,5,0.09378194808959961,0.00643436,1.65396590869,36.707536935806274,452.154011224,0.7587268352508545,0.891151,7.81158,55.5466661137,101.599107327,2469.02,-55.0366,9.27925,612.46124875,0.660011167893,0.0,-3.30343284708,34.0083919932,2598.545691728592,55.541,189.234269802,1.7183663845062256,55.9821287518,0.660011167893,-55.0817
71,0.784181823013,0.0508499,56.3266,5,0.09663581848144531,0.00986928,1.66715426473,36.57098054885864,539.664643275,0.7984731197357178,0.890016,7.80286,55.9171145241,445.132317371,2447.6,-58.1095,9.9784,602.728098374,0.78132973617,0.0,0.221621794599,38.119118726,2635.2406294345856,55.9117,64.443822136,1.7367842197418213,56.3513570196,0.78132973617,-58.1603
